description,estimated_price
How much for Wiper Blades?,550
Estimate for Deep Interior Cleaning on Tata Tiago,1150
How much for Coolant Top-up?,350
How much is Oil Change (Mineral) for Audi?,6650
Cost to fix Horn Repair on Mercedes,1750
My XUV300 needs AC Gas Refill,2600
Cost to fix Clutch Plate Replacement on Eon,6100
How much for Gearbox Repair?,14800
Cost to fix Brake Pad Replacement on Land Rover,8300
My Kwid needs Disc Turning,900
Urgent Full Body Paint required for Mercedes,112100
Harrier Teflon Coating,10250
Do you do Bumper Paint for Porsche?,11200
Cost to fix Suspension Overhaul on Jeep Compass,18300
Cost to fix Full Body Paint on Celerio,24000
Price of Teflon Coating in Land Rover,19700
I need a Battery Replacement for my Lexus,19550
How much is Engine Tuning for Jeep Compass?,3450
Disc Turning cost for Volvo,4100
I need a Teflon Coating for my Celerio,4400
Price of Wheel Balancing in Santro,500
Price of Brake Pad Replacement in XUV300,2500
Do you do Bumper Paint for Santro?,2550
Cost to fix AC Service & Cleaning on Swift,2500
Do you do Full Car Wash for Harrier?,1000
Urgent Suspension Overhaul required for Swift,7650
Estimate for Clutch Plate Replacement on Ciaz,8250
Price of Full Body Paint in Scorpio,36200
Urgent Full Body Paint required for BMW,107850
Cost to fix AC Gas Refill on Honda City,2500
Cost to fix Spark Plug Replacement on Jaguar,1850
Cost to fix Gearbox Repair on Kwid,12100
Price of Wiper Blades in Celerio,500
Cost to fix Door Dent Removal on Porsche,7000
How much for Headlight Assembly Replacement?,4150
Thar Wiper Blades,700
Price of Standard Checkup in Brezza,1150
Do you do Spark Plug Replacement for Land Rover?,1850
Urgent Headlight Bulb Change required for Creta,850
Kwid Headlight Bulb Change,600
Hyundai i10 Door Dent Removal,1450
How much for Gearbox Repair?,14250
I need a Wiper Blades for my Harrier,1150
Urgent Oil Change (Mineral) required for Brezza,2100
Celerio Horn Repair,400
My Kia Seltos needs Standard Checkup,1100
How much is Oil Change (Mineral) for Audi?,6500
Innova Crysta Gearbox Repair,26100
Price of Headlight Assembly Replacement in Hyundai i10,3400
Do you do Scratch Remover for Nexon?,1100
My Scorpio needs Horn Repair,550
How much for Full Car Wash?,550
Estimate for Scratch Remover on XUV300,1100
How much for Suspension Overhaul?,9600
How much for Coolant Top-up?,350
How much is Headlight Bulb Change for Safari?,1250
Cost to fix Headlight Bulb Change on Nexon,800
How much for Full Body Paint?,30350
My Swift needs Wheel Balancing,500
I need a Suspension Overhaul for my Kia Seltos,11550
My Lexus needs Door Dent Removal,6950
How much is Deep Interior Cleaning for Lexus?,5650
Do you do AC Gas Refill for Ignis?,1800
How much for Scratch Remover?,950
Cost to fix Wiper Blades on Kwid,500
How much for Clutch Plate Replacement?,7050
How much is Oil Change (Synthetic) for Land Rover?,12400
Urgent AC Service & Cleaning required for Octavia,5500
Price of Scratch Remover in Harrier,1800
Estimate for Oil Change (Synthetic) on XUV300,3900
Engine Tuning cost for XUV300,2100
How much is Door Dent Removal for Land Rover?,6750
I need a Standard Checkup for my Audi,3600
Estimate for Standard Checkup on Kwid,800
Urgent Oil Change (Mineral) required for Lexus,6750
Urgent Engine Tuning required for Santro,1550
Cost to fix Teflon Coating on Jaguar,19900
How much is Tyre Replacement (Per Tyre) for Eon?,3450
Price of General Service in Santro,3450
My Tiguan needs Horn Repair,850
Cost to fix Headlight Bulb Change on Swift,600
I need a Full Car Wash for my XUV700,1000
Estimate for Ceramic Coating on Swift,11950
Urgent Full Body Paint required for XUV700,54850
How much for Ceramic Coating?,14050
How much for Scratch Remover?,900
XUV700 General Service,8050
Estimate for Brake Pad Replacement on Innova Crysta,4100
How much is Scratch Remover for Innova Crysta?,1750
Cost to fix AC Service & Cleaning on WagonR,2600
I need a Teflon Coating for my Toyota Fortuner,9700
I need a Wheel Balancing for my Celerio,500
Price of Brake Pad Replacement in Mercedes,7950
How much for Suspension Overhaul?,10100
Cost to fix Bumper Paint on Tiguan,5250
How much is Wheel Balancing for Mercedes?,2300
How much for Headlight Bulb Change?,700
How much for Tyre Replacement (Per Tyre)?,4050
Estimate for Headlight Bulb Change on Mercedes,2700
Urgent Bumper Paint required for Land Rover,10850
How much for Teflon Coating?,5350
Price of AC Service & Cleaning in Land Rover,11050
How much is AC Gas Refill for Innova Crysta?,3850
I need a Teflon Coating for my Swift,4500
How much is Headlight Assembly Replacement for Jeep Compass?,7450
My Celerio needs Scratch Remover,800
Urgent Full Body Paint required for Audi,115450
Urgent Suspension Overhaul required for Nexon,11300
Urgent Clutch Plate Replacement required for WagonR,6000
Cost to fix Deep Interior Cleaning on Santro,1150
How much is Suspension Overhaul for Kwid?,7750
How much for Ceramic Coating?,14700
Price of Suspension Overhaul in Hyundai i10,7700
Do you do Disc Turning for Toyota Fortuner?,1900
Cost to fix Disc Turning on Jeep Compass,1900
How much for Engine Tuning?,1800
How much for Headlight Bulb Change?,750
How much for Door Dent Removal?,1800
Porsche Wheel Alignment,1750
Estimate for Headlight Assembly Replacement on Celerio,3350
Innova Crysta Brake Pad Replacement,4000
Cost to fix Disc Turning on Nexon,1250
Cost to fix Teflon Coating on Mercedes,19500
How much for Headlight Bulb Change?,700
Do you do Suspension Overhaul for Kwid?,8100
Price of Deep Interior Cleaning in Tiguan,2600
Cost to fix Horn Repair on Tiguan,850
My Brezza needs Headlight Bulb Change,800
I need a Full Body Paint for my Octavia,57000
Estimate for Oil Change (Synthetic) on Maruti Alto,2950
How much for Engine Tuning?,1900
How much for Teflon Coating?,5250
Cost to fix General Service on Kia Seltos,4850
Urgent Spark Plug Replacement required for Nexon,600
Ignis Wheel Balancing,500
Wheel Alignment cost for Mercedes,1800
Do you do Full Body Paint for Swift?,26150
My Porsche needs Standard Checkup,3600
Spark Plug Replacement cost for Lexus,1900
Estimate for Suspension Overhaul on Hyundai i10,7650
How much for Deep Interior Cleaning?,1450
Full Body Paint cost for Scorpio,36350
Urgent Brake Pad Replacement required for Creta,2550
How much is Full Body Paint for Santro?,24350
My Maruti Alto needs AC Gas Refill,1900
My Volvo needs Horn Repair,1850
Urgent Horn Repair required for Mercedes,1800
Estimate for Brake Pad Replacement on Verna,2500
I need a Suspension Overhaul for my Kia Seltos,11750
Estimate for Gearbox Repair on BMW,52550
Teflon Coating cost for Porsche,19500
How much for Disc Turning?,1050
Scratch Remover cost for Harrier,1700
My Maruti Alto needs Wheel Alignment,400
I need a Oil Change (Synthetic) for my Jaguar,13000
How much is Oil Change (Mineral) for Kwid?,1450
I need a Door Dent Removal for my Creta,2100
Estimate for Wheel Alignment on Jeep Compass,850
How much for Tyre Replacement (Per Tyre)?,4250
Urgent AC Service & Cleaning required for Scorpio,3550
Cost to fix AC Service & Cleaning on Jeep Compass,5450
Estimate for Ceramic Coating on Octavia,26100
My Eon needs Clutch Plate Replacement,5800
Estimate for Teflon Coating on XUV300,6050
Mercedes Gearbox Repair,55000
Wheel Alignment cost for Toyota Fortuner,900
Wheel Alignment cost for Maruti Alto,400
Cost to fix Brake Pad Replacement on Kia Seltos,2650
Urgent Clutch Plate Replacement required for Harrier,13050
I need a Bumper Paint for my Kia Seltos,3650
How much is Scratch Remover for Porsche?,3750
Spark Plug Replacement cost for Nexon,550
Cost to fix Tyre Replacement (Per Tyre) on Verna,4900
My Volvo needs Headlight Assembly Replacement,15250
Venue Oil Change (Synthetic),4000
Cost to fix Disc Turning on Audi,4250
How much is Full Car Wash for Tata Tiago?,450
My Venue needs Horn Repair,550
How much for Full Body Paint?,29650
Kwid Gearbox Repair,11550
Cost to fix Spark Plug Replacement on Tata Tiago,400
How much for Wiper Blades?,600
My Lexus needs Disc Turning,4000
My Toyota Fortuner needs Scratch Remover,1800
Cost to fix Door Dent Removal on Santro,1450
Price of Ceramic Coating in Jeep Compass,27000
Price of AC Gas Refill in Santro,1700
Do you do Headlight Bulb Change for XUV700?,1350
Estimate for Battery Replacement on Scorpio,6200
My Innova Crysta needs Battery Replacement,10350
Do you do Engine Tuning for Jeep Compass?,3300
I need a Full Car Wash for my Kwid,450
Engine Tuning cost for Creta,2050
Do you do Suspension Overhaul for Tata Tiago?,7950
Urgent Suspension Overhaul required for Tiguan,17650
Estimate for Wheel Alignment on BMW,1850
How much is Oil Change (Synthetic) for Ciaz?,4100
Estimate for Tyre Replacement (Per Tyre) on Santro,3400
Cost to fix AC Service & Cleaning on Venue,3500
I need a Deep Interior Cleaning for my Ignis,1150
How much for Wiper Blades?,600
Estimate for Tyre Replacement (Per Tyre) on Jeep Compass,7550
Urgent Teflon Coating required for Porsche,20050
Cost to fix Door Dent Removal on Scorpio,2200
Do you do Ceramic Coating for Maruti Alto?,11850
Do you do Clutch Plate Replacement for WagonR?,5750
Kwid Oil Change (Mineral),1450
Urgent Disc Turning required for Venue,1300
How much is Door Dent Removal for Lexus?,6750
Headlight Bulb Change cost for Tata Tiago,600
How much for Oil Change (Mineral)?,1700
Toyota Fortuner Full Body Paint,57350
How much for Headlight Bulb Change?,750
Cost to fix Teflon Coating on Harrier,10200
My Kwid needs Door Dent Removal,1550
Do you do AC Service & Cleaning for Porsche?,10700
Kia Seltos Spark Plug Replacement,550
Coolant Top-up cost for BMW,1300
Cost to fix Full Body Paint on Harrier,53900
XUV700 Bumper Paint,5650
My Nexon needs Engine Tuning,2050
Urgent Scratch Remover required for Jaguar,3500
My Tata Tiago needs Battery Replacement,4600
My Swift needs Oil Change (Mineral),1500
Price of Headlight Bulb Change in Harrier,1350
Celerio Engine Tuning,1450
Estimate for Wheel Balancing on Creta,700
I need a Gearbox Repair for my Harrier,25950
I need a Wiper Blades for my Verna,700
Wheel Balancing cost for Volvo,2200
Porsche Suspension Overhaul,35950
How much for Scratch Remover?,1000
How much for Full Car Wash?,550
How much for General Service?,4200
Cost to fix Deep Interior Cleaning on Mercedes,5550
Clutch Plate Replacement cost for Octavia,13700
My Swift needs Brake Pad Replacement,1750
Estimate for AC Service & Cleaning on Tata Tiago,2400
How much is Headlight Bulb Change for Lexus?,2700
Urgent Battery Replacement required for Jeep Compass,9550
Urgent Standard Checkup required for Hyundai i10,850
I need a AC Service & Cleaning for my Volvo,10750
Coolant Top-up cost for Santro,300
Price of Disc Turning in Safari,2050
Urgent Engine Tuning required for Maruti Alto,1500
Ceramic Coating cost for Toyota Fortuner,26150
I need a Oil Change (Mineral) for my Swift,1500
Ignis Standard Checkup,850
How much is Tyre Replacement (Per Tyre) for Mercedes?,15250
Do you do Spark Plug Replacement for XUV700?,900
How much for Deep Interior Cleaning?,1450
How much for Gearbox Repair?,15000
How much is Clutch Plate Replacement for XUV300?,8650
How much for Spark Plug Replacement?,450
How much is AC Service & Cleaning for Scorpio?,3450
Urgent Wheel Balancing required for Lexus,2350
How much for Headlight Bulb Change?,700
Estimate for Clutch Plate Replacement on Jeep Compass,13150
Price of Full Body Paint in Audi,109450
Cost to fix Horn Repair on Nexon,600
My Maruti Alto needs Teflon Coating,4600
Estimate for AC Service & Cleaning on Jeep Compass,5550
I need a Gearbox Repair for my Jeep Compass,26950
How much for Full Body Paint?,28500
How much for Gearbox Repair?,13800
How much for Coolant Top-up?,350
How much for AC Gas Refill?,2100
How much for AC Service & Cleaning?,3100
Urgent Wheel Alignment required for Porsche,1750
Price of Engine Tuning in Kia Seltos,2100
How much is Ceramic Coating for Swift?,11900
Estimate for Wheel Alignment on Swift,400
Suspension Overhaul cost for Kia Seltos,10950
Clutch Plate Replacement cost for Mercedes,26000
My Kia Seltos needs Battery Replacement,6050
I need a Scratch Remover for my Mercedes,3700
Cost to fix Coolant Top-up on Octavia,650
Estimate for Horn Repair on Octavia,900
Lexus Standard Checkup,3700
Urgent Horn Repair required for Venue,600
Cost to fix Ceramic Coating on Tiguan,27100
How much for Teflon Coating?,5350
Do you do Suspension Overhaul for Ciaz?,11600
I need a Headlight Assembly Replacement for my BMW,15550
How much for Headlight Assembly Replacement?,4100
Urgent Door Dent Removal required for Honda City,2050
Swift Oil Change (Mineral),1550
Do you do Brake Pad Replacement for Santro?,1850
Urgent General Service required for Hyundai i10,3350
Do you do Battery Replacement for Ciaz?,6000
Price of Bumper Paint in Maruti Alto,2500
How much for AC Gas Refill?,2100
Estimate for Tyre Replacement (Per Tyre) on Nexon,5050
How much for Scratch Remover?,950
How much for Bumper Paint?,3100
Cost to fix Wiper Blades on Brezza,650
Urgent Teflon Coating required for Volvo,20600
Price of Engine Tuning in Ignis,1450
Do you do Scratch Remover for Brezza?,1050
Estimate for Teflon Coating on Eon,4500
My Innova Crysta needs Wheel Alignment,900
How much for Wheel Alignment?,500
Estimate for Brake Pad Replacement on Mercedes,8250
Estimate for Teflon Coating on Safari,10250
Hyundai i10 Battery Replacement,4300
Innova Crysta AC Gas Refill,4050
Estimate for AC Gas Refill on Nexon,2400
Do you do AC Gas Refill for XUV700?,4150
How much is Oil Change (Synthetic) for Volvo?,13050
How much for Deep Interior Cleaning?,1450
Cost to fix Door Dent Removal on Tiguan,3300
Creta Coolant Top-up,400
Price of Headlight Bulb Change in Tiguan,1400
Cost to fix Battery Replacement on Mercedes,20800
Tyre Replacement (Per Tyre) cost for Brezza,5000
How much for Wheel Balancing?,600
Do you do Suspension Overhaul for Kwid?,8400
How much for Tyre Replacement (Per Tyre)?,4350
Do you do Standard Checkup for Kwid?,800
My Creta needs Coolant Top-up,400
How much is Wheel Alignment for Octavia?,900
How much for Horn Repair?,500
My Celerio needs Headlight Bulb Change,600
Jaguar Bumper Paint,11250
Cost to fix General Service on Innova Crysta,8000
I need a Wheel Balancing for my Kwid,500
How much is Teflon Coating for Jeep Compass?,10150
Urgent Horn Repair required for Tata Tiago,400
Urgent Ceramic Coating required for Kia Seltos,16650
Price of Wheel Alignment in Harrier,850
I need a Wheel Balancing for my XUV700,1150
Honda City Clutch Plate Replacement,8750
Standard Checkup cost for Ignis,800
Estimate for Headlight Assembly Replacement on Lexus,15800
Celerio Suspension Overhaul,8250
Cost to fix Full Car Wash on Ignis,450
Do you do AC Gas Refill for Verna?,2400
Wiper Blades cost for Thar,750
I need a Bumper Paint for my Honda City,3450
How much is Oil Change (Synthetic) for Harrier?,6000
Do you do Oil Change (Mineral) for Audi?,6800
Estimate for Brake Pad Replacement on Toyota Fortuner,3900
How much is Oil Change (Synthetic) for Maruti Alto?,2750
Urgent Battery Replacement required for Innova Crysta,9900
Audi Headlight Bulb Change,2750
My Tata Tiago needs Gearbox Repair,11950
Cost to fix Standard Checkup on Kwid,800
How much for Full Body Paint?,29300
How much for Spark Plug Replacement?,450
How much for Door Dent Removal?,1850
I need a Wheel Balancing for my Hyundai i10,500
How much for Tyre Replacement (Per Tyre)?,4150
How much for Spark Plug Replacement?,500
How much is Ceramic Coating for Celerio?,12100
How much is Brake Pad Replacement for Nexon?,2550
Eon Door Dent Removal,1450
Estimate for Full Body Paint on Jeep Compass,54550
Do you do Clutch Plate Replacement for Celerio?,5950
Urgent Spark Plug Replacement required for Swift,400
My Ignis needs AC Service & Cleaning,2600
Price of Wheel Balancing in Maruti Alto,500
Urgent Disc Turning required for XUV700,1950
How much for Door Dent Removal?,1850
Urgent Oil Change (Synthetic) required for BMW,12900
How much for Tyre Replacement (Per Tyre)?,4050
Estimate for Bumper Paint on Porsche,11300
I need a Deep Interior Cleaning for my BMW,5500
